time,icao,operation,airport,registration,flight,ac_type,ac_size,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,latitude,longitude,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
1/1/2025 1:23,80164b,takeoff,WMKP,VT-IQX,IGO1046,A20N,medium,,https://globe.adsbexchange.com/?icao=80164b&zoom=13.5&showTrace=2025-01-01&timestamp=1735694609,,adsb_icao,A3,,,,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:27,750254,takeoff,WMKK,9M-MTA,MAS388,A333,big,,https://globe.adsbexchange.com/?icao=750254&zoom=13.5&showTrace=2025-01-01&timestamp=1735694834,2117,adsb_icao,A5,,,Airbus A330-322,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:29,750220,takeoff,WMKK,9M-MXV,MAS1432,B738,medium,,https://globe.adsbexchange.com/?icao=750220&zoom=13.5&showTrace=2025-01-01&timestamp=1735694991,,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:34,750280,takeoff,WMKK,9M-MLM,MAS754,B738,medium,,https://globe.adsbexchange.com/?icao=750280&zoom=13.5&showTrace=2025-01-01&timestamp=1735695241,2161,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:38,750450,takeoff,WMSA,9M-AGK,AXM4235,A20N,medium,,https://globe.adsbexchange.com/?icao=750450&zoom=13.5&showTrace=2025-01-01&timestamp=1735695528,2152,adsb_icao,A3,,,Airbus A320-251N,,f,f,L2J,f,medium_airport,Sultan Abdul Aziz Shah International Airport,3.130583,101.549333,AS,MY,MY-10,,yes,SZB,90
1/1/2025 1:40,750148,landing,WMKJ,9M-AFV,AXM5423,A320,medium,,https://globe.adsbexchange.com/?icao=750148&zoom=13.5&showTrace=2025-01-01&timestamp=1735695631,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 1:44,750466,landing,WMKJ,9M-AGT,AXM6413,A320,medium,,https://globe.adsbexchange.com/?icao=750466&zoom=13.5&showTrace=2025-01-01&timestamp=1735695890,,adsb_icao,A3,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 1:44,899135,landing,WMKP,B-16789,,B77L,big,,https://globe.adsbexchange.com/?icao=899135&zoom=13.5&showTrace=2025-01-01&timestamp=1735695893,,adsb_icao,A5,,,,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:47,750202,takeoff,WMKJ,9M-MXB,MAS1038,B738,medium,,https://globe.adsbexchange.com/?icao=750202&zoom=13.5&showTrace=2025-01-01&timestamp=1735696051,,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 1:50,7503db,takeoff,WMKK,9M-LNV,MXD2407,B738,medium,,https://globe.adsbexchange.com/?icao=7503db&zoom=13.5&showTrace=2025-01-01&timestamp=1735696232,362,adsb_icao,A0,,,Boeing 737-8GP,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:50,750282,landing,WMKP,9M-MLO,,B738,medium,4,https://globe.adsbexchange.com/?icao=750282&zoom=13.5&showTrace=2025-01-01&timestamp=1735696254,,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:52,8a074e,takeoff,WMKP,PK-AZL,AWQ107,A320,medium,4,https://globe.adsbexchange.com/?icao=8a074e&zoom=13.5&showTrace=2025-01-01&timestamp=1735696364,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:54,75021d,takeoff,WMKK,9M-MXS,MAS104,B738,medium,,https://globe.adsbexchange.com/?icao=75021d&zoom=13.5&showTrace=2025-01-01&timestamp=1735696469,2164,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
